,Gradient 1,Gradient 2,Gradient 3
Easy Math Task,-0.124954138,0.332221971,-0.020870498
Finger Tapping Task,-0.090963574,-0.241336366,-0.170440839
GoNoGo Task,-0.31702636,0.036362577,-0.159410417
Hard Math Task,-0.275798122,0.402380589,-0.407389088
Memory Task,-0.036691414,0.115884583,0.323863964
Movie Task-bridge,-0.055046289,0.280933569,0.317858122
Movie Task-incept,-0.293453447,0.376771714,0.156545561
One-Back Task,-0.009918255,-0.030028992,-0.537272264
Friend Task,0.066229557,0.061472443,0.208842324
Reading Task,-0.19586954,-0.014883893,0.326889586
You Task,-0.068702623,0.051618542,0.14160951
Two-Back Task-faces,-0.025340712,0.386745896,-0.434225517
Two-Back Task-scenes,-0.130999829,0.464204275,-0.426960277
Zero-Back Task,0.092938821,-0.060981931,-0.389395513
