,Task,Response Time,Accuracy,Sentiment
0,Experience Sampling Questions,3.957679869791769,,
1,Experience Sampling Questions,4.281269951215007,,
2,Experience Sampling Questions,4.909587743403487,,
3,Experience Sampling Questions,3.322561875350301,,
4,Experience Sampling Questions,5.543979584201679,,
5,Experience Sampling Questions,1.8551689479164049,,
6,Experience Sampling Questions,3.648076122916665,,
7,Experience Sampling Questions,6.39399599270847,,
8,Experience Sampling Questions,2.0934166845484774,,
9,Experience Sampling Questions,3.701655077601471,,
10,Experience Sampling Questions,4.334895362152262,,
11,Experience Sampling Questions,3.3834381633662107,,
12,Experience Sampling Questions,4.6492996317709485,,
13,Experience Sampling Questions,4.617741407986113,,
14,Experience Sampling Questions,4.387295287152837,,
15,GoNoGo Task,1.0068063722220748,,
16,GoNoGo Task,0.9831338103700008,,
17,GoNoGo Task,1.0183310555557832,,
18,GoNoGo Task,0.9587132188579311,,
19,GoNoGo Task,1.0123156186204267,,
20,GoNoGo Task,1.0012351504267585,,
21,GoNoGo Task,1.0167938280379003,,
22,GoNoGo Task,1.0038452227933756,,
23,GoNoGo Task,0.9728318477100736,,
24,GoNoGo Task,0.9950333774488952,,
25,GoNoGo Task,1.0087983070877675,,
26,GoNoGo Task,1.03654962405825,,
27,GoNoGo Task,1.030768150819924,,
28,GoNoGo Task,1.0268530496124086,,
29,GoNoGo Task,1.0070617455354685,,
30,Finger Tapping Task,0.3568895784600709,1.0,
31,Finger Tapping Task,1.316989826001809,0.84,
32,Finger Tapping Task,0.3650910426676273,1.0,
33,Finger Tapping Task,0.3602021450099225,1.0,
34,Finger Tapping Task,0.3890481150008175,1.0,
35,Finger Tapping Task,0.6432378015377953,1.0,
36,Finger Tapping Task,0.4492610026663169,1.0,
37,Finger Tapping Task,0.3427701528591569,1.0,
38,Finger Tapping Task,0.3734599999993896,1.0,
39,Finger Tapping Task,0.5402159276955689,1.0,
40,Finger Tapping Task,0.376148230000399,1.0,
41,Finger Tapping Task,0.3785049650042007,1.0,
42,Finger Tapping Task,0.3898217142856863,1.0,
43,Finger Tapping Task,0.2945109942857081,1.0,
44,Finger Tapping Task,0.3689991366662676,1.0,
45,Two-Back Task-faces,1.1670996755523244,0.8888888888888888,
46,Two-Back Task-faces,1.372800691302552,0.5,
47,Two-Back Task-faces,0.9200045229154056,0.8541666666666666,
48,Two-Back Task-faces,0.8634353022298051,0.8222222222222222,
49,Two-Back Task-faces,1.222198588636688,0.8636363636363636,
50,Two-Back Task-faces,0.5190357314821556,0.8888888888888888,
51,Two-Back Task-faces,1.2463766956529785,0.6956521739130435,
52,Two-Back Task-faces,1.1188121999966825,0.7708333333333334,
53,Two-Back Task-faces,0.7827860338956717,0.7627118644067796,
54,Two-Back Task-faces,1.1707024915029909,0.4468085106382978,
55,Two-Back Task-faces,0.9913734608461432,0.8478260869565217,
56,Two-Back Task-faces,0.9452281489254948,0.9148936170212766,
57,Two-Back Task-faces,0.929940239215748,0.8823529411764706,
58,Two-Back Task-faces,1.1639120936169227,0.7872340425531915,
59,Two-Back Task-faces,0.6286599673070529,0.903846153846154,
60,Two-Back Task-scenes,1.1304930260875667,0.8913043478260869,
61,Two-Back Task-scenes,0.973636929311083,0.7241379310344828,
62,Two-Back Task-scenes,0.935572595914056,0.8163265306122449,
63,Two-Back Task-scenes,1.1045403589601988,0.717948717948718,
64,Two-Back Task-scenes,0.8665401762714205,0.8983050847457628,
65,Two-Back Task-scenes,0.5758517148939799,0.9574468085106383,
66,Two-Back Task-scenes,1.2733195577770755,0.8888888888888888,
67,Two-Back Task-scenes,1.0356129773564082,0.7924528301886793,
68,Two-Back Task-scenes,1.072670989365198,0.7659574468085106,
69,Two-Back Task-scenes,1.1086277272816831,0.7045454545454546,
70,Two-Back Task-scenes,0.8578662931023904,0.8448275862068966,
71,Two-Back Task-scenes,1.3103303499924748,0.6086956521739131,
72,Two-Back Task-scenes,1.2794104511624536,0.6744186046511628,
73,Two-Back Task-scenes,1.4445634639999845,0.62,
74,Two-Back Task-scenes,0.7544626611116756,0.8518518518518519,
75,One-Back Task,1.2468878222247843,1.0,
76,One-Back Task,1.6368141500002822,0.9,
77,One-Back Task,0.8327098615386953,0.9230769230769232,
78,One-Back Task,1.67836852495869,0.9166666666666666,
79,One-Back Task,1.4492132272716844,0.6363636363636364,
80,One-Back Task,2.19659493000072,0.7,
81,One-Back Task,1.3632225909095723,0.9090909090909092,
82,One-Back Task,1.1861431166665473,0.9166666666666666,
83,One-Back Task,0.8662654769320327,0.9230769230769232,
84,One-Back Task,1.512796963639134,1.0,
85,One-Back Task,0.7322240000146187,1.0,
86,One-Back Task,1.1608596713880874,0.8571428571428571,
87,One-Back Task,1.0034698199997365,1.0,
88,One-Back Task,1.4693643700000163,0.8,
89,One-Back Task,0.7463219545468085,1.0,
90,Zero-Back Task,0.8834177727271295,1.0,
91,Zero-Back Task,0.917567645453594,0.8181818181818182,
92,Zero-Back Task,0.7852359692333266,1.0,
93,Zero-Back Task,0.7967016833523909,1.0,
94,Zero-Back Task,2.1227034499994866,0.6666666666666666,
95,Zero-Back Task,1.424060691667061,0.9166666666666666,
96,Zero-Back Task,1.349539990002813,0.9,
97,Zero-Back Task,1.3149065181761133,1.0,
98,Zero-Back Task,0.7428419099887833,0.7,
99,Zero-Back Task,0.9196944181722674,1.0,
100,Zero-Back Task,0.640699380019214,1.0,
101,Zero-Back Task,0.6353377636246891,1.0,
102,Zero-Back Task,0.7673343636349521,1.0,
103,Zero-Back Task,0.6738800692307729,1.0,
104,Zero-Back Task,0.867747809091022,1.0,
105,Hard Math Task,2.275145920000505,0.94,
106,Hard Math Task,2.319517194736634,0.9824561403508772,
107,Hard Math Task,2.087597098278789,0.6551724137931034,
108,Hard Math Task,2.08544593403968,1.0,
109,Hard Math Task,2.146181297917034,0.8541666666666666,
110,Hard Math Task,2.0297520547168424,0.9056603773584906,
111,Hard Math Task,2.3613254104163084,0.9166666666666666,
112,Hard Math Task,2.798961053191848,0.8913043478260869,
113,Hard Math Task,1.9543753018158236,0.9454545454545454,
114,Hard Math Task,2.540905008166173,0.8723404255319149,
115,Hard Math Task,2.098741181674025,0.7833333333333333,
116,Hard Math Task,2.105983703847204,0.9807692307692308,
117,Hard Math Task,3.676504123684457,0.6944444444444444,
118,Hard Math Task,2.6704218422222565,0.9090909090909092,
119,Hard Math Task,2.0644247207546527,0.981132075471698,
120,Easy Math Task,1.821316471156024,1.0,
121,Easy Math Task,1.9723523540992949,1.0,
122,Easy Math Task,1.8984546509084543,0.9272727272727272,
123,Easy Math Task,1.995231272996448,0.984126984126984,
124,Easy Math Task,2.0170825333329656,0.9473684210526316,
125,Easy Math Task,2.044994685454929,0.8653846153846154,
126,Easy Math Task,2.0295598310338643,0.9821428571428572,
127,Easy Math Task,1.9330333271187183,0.9830508474576272,
128,Easy Math Task,1.862284061286764,0.935483870967742,
129,Easy Math Task,2.0289117559253915,0.9482758620689656,
130,Easy Math Task,1.865960669631022,0.9821428571428572,
131,Easy Math Task,1.9017549203432529,1.0,
132,Easy Math Task,2.0579306969692963,0.9846153846153848,
133,Easy Math Task,1.9071615127271964,1.0,
134,Easy Math Task,1.9056275040818536,0.979591836734694,
135,Friend Task,1.2059910869562451,,0.5652173913043478
136,Friend Task,2.4858794842098417,,0.6052631578947368
137,Friend Task,1.042659646672352,,0.7045454545454546
138,Friend Task,2.262775381592004,,0.8055555555555556
139,Friend Task,1.3857051782612435,,0.8
140,Friend Task,0.8666920208330945,,0.7708333333333334
141,Friend Task,1.2013396111106784,,0.8
142,Friend Task,1.147335047824131,,0.782608695652174
143,Friend Task,0.754515122722792,,0.8409090909090909
144,Friend Task,1.385100273335249,,0.7333333333333333
145,Friend Task,1.028172208504018,,0.5531914893617021
146,Friend Task,0.9356374347069282,,0.5918367346938775
147,Friend Task,1.7478409046517025,,0.7619047619047619
148,Friend Task,1.0299794740000288,,0.8
149,Friend Task,0.809741723076793,,0.8846153846153846
150,You Task,0.9678900434789112,,0.4852941176470588
151,You Task,2.5567335818179178,,0.4883720930232558
152,You Task,0.989948993337263,,0.6666666666666666
153,You Task,1.6554691339667251,,0.7358490566037735
154,You Task,1.3455276693538538,,0.8709677419354839
155,You Task,0.6562715710522178,,0.6447368421052632
156,You Task,1.0979120567164715,,0.6716417910447762
157,You Task,1.097084601614399,,0.6290322580645161
158,You Task,0.6795868275407027,,0.6231884057971014
159,You Task,1.3880839275902714,,0.6666666666666666
160,You Task,0.9489471343658806,,0.71875
161,You Task,0.9000343833291536,,0.6363636363636364
162,You Task,1.6599604660001932,,0.76
163,You Task,1.0426714733332878,,0.6833333333333333
164,You Task,0.8090680088237551,,0.7647058823529411
165,Go Task,,0.9230769230769232,
166,Go Task,,0.8,
167,Go Task,,0.6,
168,Go Task,,0.3571428571428571,
169,Go Task,,0.9333333333333332,
170,Go Task,,0.7058823529411765,
171,Go Task,,0.8333333333333334,
172,Go Task,,0.8125,
173,Go Task,,0.5333333333333333,
174,Go Task,,0.5882352941176471,
175,Go Task,,0.2666666666666666,
176,Go Task,,0.9375,
177,Go Task,,0.8,
178,Go Task,,0.9,
179,Go Task,,0.8,
180,NoGo Task,,0.8672566371681416,
181,NoGo Task,,0.9416666666666668,
182,NoGo Task,,0.931372549019608,
183,NoGo Task,,0.5,
184,NoGo Task,,0.0769230769230769,
185,NoGo Task,,0.22,
186,NoGo Task,,0.4736842105263157,
187,NoGo Task,,0.8166666666666667,
188,NoGo Task,,0.5212765957446809,
189,NoGo Task,,0.7241379310344828,
190,NoGo Task,,0.9047619047619048,
191,NoGo Task,,0.8803418803418803,
192,NoGo Task,,0.2410714285714285,
193,NoGo Task,,0.3944954128440367,
194,NoGo Task,,0.9690721649484536,
