Absorption_response,0.549,0.24,0.233,0.077
Other_response,-0.156,0.114,0.499,0.488
Problem_response,0.627,0.405,-0.233,-0.198
Words_response,0.211,0.03,0.251,0.415
Sounds_response,-0.049,0.179,-0.052,0.728
Images_response,0.09,0.056,0.07,0.576
Past_response,0.194,0.077,0.745,0.096
Distracting_response,-0.17,0.726,0.185,0.09
Focus_response,0.154,0.58,0.055,-0.082
Intrusive_response,-0.071,0.628,0.193,0.234
Deliberate_response,0.676,-0.196,-0.002,0.09
Detailed_response,0.686,-0.029,0.253,0.268
Future_response,0.224,0.521,-0.033,0.355
Emotion_response,0.285,-0.306,0.259,0.407
Self_response,-0.03,0.318,0.601,0.133
Knowledge_response,0.51,-0.011,0.626,-0.066
